group,start_date,end_date,cluster_id,centroid,volume,report_ids
environmental,2025-02-04 16:11:23.839000+00:00,2025-02-04 16:41:23.839000+00:00,0,"(np.float64(43.7226813), np.float64(10.3943201))",1,['ed65kz3wtO1g4jkdauiF']
environmental,2025-02-04 16:16:23.839000+00:00,2025-02-04 16:46:23.839000+00:00,0,"(np.float64(43.7227653), np.float64(10.3917425))",1,['VLfSFIwpYlHk8uCeC23U']
environmental,2025-02-04 16:16:23.839000+00:00,2025-02-04 16:46:23.839000+00:00,1,"(np.float64(43.7226813), np.float64(10.3943201))",1,['ed65kz3wtO1g4jkdauiF']
environmental,2025-02-04 16:21:23.839000+00:00,2025-02-04 16:51:23.839000+00:00,0,"(np.float64(43.7227653), np.float64(10.3917425))",1,['VLfSFIwpYlHk8uCeC23U']
environmental,2025-02-04 16:21:23.839000+00:00,2025-02-04 16:51:23.839000+00:00,1,"(np.float64(43.7226813), np.float64(10.3943201))",1,['ed65kz3wtO1g4jkdauiF']
environmental,2025-02-04 16:26:23.839000+00:00,2025-02-04 16:56:23.839000+00:00,0,"(np.float64(43.7227653), np.float64(10.3917425))",1,['VLfSFIwpYlHk8uCeC23U']
environmental,2025-02-04 16:26:23.839000+00:00,2025-02-04 16:56:23.839000+00:00,1,"(np.float64(43.7226813), np.float64(10.3943201))",1,['ed65kz3wtO1g4jkdauiF']
environmental,2025-02-04 16:31:23.839000+00:00,2025-02-04 17:01:23.839000+00:00,0,"(np.float64(43.7227653), np.float64(10.3917425))",1,['VLfSFIwpYlHk8uCeC23U']
environmental,2025-02-04 16:31:23.839000+00:00,2025-02-04 17:01:23.839000+00:00,1,"(np.float64(43.7226813), np.float64(10.3943201))",1,['ed65kz3wtO1g4jkdauiF']
environmental,2025-02-04 16:36:23.839000+00:00,2025-02-04 17:06:23.839000+00:00,0,"(np.float64(43.7227653), np.float64(10.3917425))",1,['VLfSFIwpYlHk8uCeC23U']
environmental,2025-02-04 16:36:23.839000+00:00,2025-02-04 17:06:23.839000+00:00,1,"(np.float64(43.7226813), np.float64(10.3943201))",1,['ed65kz3wtO1g4jkdauiF']
environmental,2025-02-04 16:41:23.839000+00:00,2025-02-04 17:11:23.839000+00:00,0,"(np.float64(43.7227653), np.float64(10.3917425))",1,['VLfSFIwpYlHk8uCeC23U']
infrastructure,2025-02-04 16:11:23.839000+00:00,2025-02-04 16:41:23.839000+00:00,0,"(np.float64(43.72186195588236), np.float64(10.395944844117647))",34,"['0GyBmegOdzHVY9D9m2Gv', '0opkWqIEqzHrok00HA7F', '0xNA1o1R9lD7ZTIqbSMP', '2kXmDt5hWg99jHCenAP2', '4qnQagTPB2lEik6079eu', '5qKnqscdCnLL0uvFHBd4', '6Pmh3cw4cFS3tJ7WQ9aa', '8IvdU8k5UjN3eSx5KVYd', '8hOFeE1XixAcBVYPiql6', 'BGkRLgtMETOvzlwIdD2s', 'Dk6XGWmwsW9iShq3Iox9', 'GZOQgZAv8DRe9Yz25KPz', 'GlDLX8qVj8FWdLen0Nvp', 'HSdrhSBUaxyxEGfNGzYq', 'LMn5S5HWqzzKqhRLaoWH', 'ObfjfPYDdoreTWFStDAY', 'PCOugecua2VLUm5p0iZG', 'PuIchCxGaOF8ciwiCVCy', 'Q0MBJogTIirPTvhSqy7D', 'Q5R5zQ3qndSMtPwahNF1', 'SaLMb2F8ji9ZPZ4e2VY2', 'TnE5lqAye4kdskHLYUe0', 'YkQigTEFpTTgGxUROnsu', 'YtMp00OoQGG8Dua0jqR2', 'ZavhZz9UytUlPMD6ROmQ', 'dgBvN9eFUqpwDMuAnJex', 'eDUioRybGqzQFJuDEM2W', 'iT8kfOEvnalXX8zsn3QU', 'noSQ5spVKQOcaJLsDVx4', 'sfdGPmo51dULctvtwcfw', 'uWa8DY5J5wMjebOX2ipO', 'vXk4cYvu2McNWy9KrGjE', 'wKndvfOoVW6k5z7AfjAB', 'wvdA8AXaWzzZ46r2v6mR']"
infrastructure,2025-02-04 16:16:23.839000+00:00,2025-02-04 16:46:23.839000+00:00,0,"(np.float64(43.72202127272727), np.float64(10.396312509090908))",33,"['0GyBmegOdzHVY9D9m2Gv', '0opkWqIEqzHrok00HA7F', '0xNA1o1R9lD7ZTIqbSMP', '2kXmDt5hWg99jHCenAP2', '4qnQagTPB2lEik6079eu', '5qKnqscdCnLL0uvFHBd4', '6Pmh3cw4cFS3tJ7WQ9aa', '8IvdU8k5UjN3eSx5KVYd', '8hOFeE1XixAcBVYPiql6', 'ANBacocLc7EpB4mar866', 'Aal8jOrlsBz8cu4tj6DK', 'BGkRLgtMETOvzlwIdD2s', 'Cb8XZnvZBp1jHATMzEXp', 'Dk6XGWmwsW9iShq3Iox9', 'GZOQgZAv8DRe9Yz25KPz', 'GlDLX8qVj8FWdLen0Nvp', 'GwuEAz89IKFSWPTDQsJd', 'ObfjfPYDdoreTWFStDAY', 'PuIchCxGaOF8ciwiCVCy', 'Q0MBJogTIirPTvhSqy7D', 'Q5R5zQ3qndSMtPwahNF1', 'SaLMb2F8ji9ZPZ4e2VY2', 'TnE5lqAye4kdskHLYUe0', 'YkQigTEFpTTgGxUROnsu', 'YtMp00OoQGG8Dua0jqR2', 'ZavhZz9UytUlPMD6ROmQ', 'dgBvN9eFUqpwDMuAnJex', 'eDUioRybGqzQFJuDEM2W', 'noSQ5spVKQOcaJLsDVx4', 'sfdGPmo51dULctvtwcfw', 'uWa8DY5J5wMjebOX2ipO', 'wvdA8AXaWzzZ46r2v6mR', 'ya0hbXxIwgXtgqnlsVZU']"
infrastructure,2025-02-04 16:21:23.839000+00:00,2025-02-04 16:51:23.839000+00:00,0,"(np.float64(43.721702981818176), np.float64(10.397792163636364))",22,"['0GyBmegOdzHVY9D9m2Gv', '0xNA1o1R9lD7ZTIqbSMP', '2kXmDt5hWg99jHCenAP2', '4qnQagTPB2lEik6079eu', '5qKnqscdCnLL0uvFHBd4', '6Pmh3cw4cFS3tJ7WQ9aa', '8IvdU8k5UjN3eSx5KVYd', '8hOFeE1XixAcBVYPiql6', 'BGkRLgtMETOvzlwIdD2s', 'Dk6XGWmwsW9iShq3Iox9', 'ObfjfPYDdoreTWFStDAY', 'Q0MBJogTIirPTvhSqy7D', 'SaLMb2F8ji9ZPZ4e2VY2', 'TnE5lqAye4kdskHLYUe0', 'YkQigTEFpTTgGxUROnsu', 'YtMp00OoQGG8Dua0jqR2', 'ZavhZz9UytUlPMD6ROmQ', 'dgBvN9eFUqpwDMuAnJex', 'eDUioRybGqzQFJuDEM2W', 'noSQ5spVKQOcaJLsDVx4', 'sfdGPmo51dULctvtwcfw', 'uWa8DY5J5wMjebOX2ipO']"
infrastructure,2025-02-04 16:21:23.839000+00:00,2025-02-04 16:51:23.839000+00:00,1,"(np.float64(43.722638625), np.float64(10.389183325))",8,"['2WblUNhm2PUsFmXFDPqs', '7s0o0FafOmDqMjRqBSfk', 'ChemhCHJ49rhYoBSybm2', 'J4aSMpHmUg7YGNMuvhhf', 'KfVPGnQX8RqCoqIhKJQi', 'Q0uY9xYPrBYe7uqMQeep', 'Ubk9eIrycchYRti3UnXB', 'daXJqT7DmwRxyw2jb7JJ']"
infrastructure,2025-02-04 16:21:23.839000+00:00,2025-02-04 16:51:23.839000+00:00,2,"(np.float64(43.72275196), np.float64(10.39242818))",5,"['ANBacocLc7EpB4mar866', 'Aal8jOrlsBz8cu4tj6DK', 'Cb8XZnvZBp1jHATMzEXp', 'GwuEAz89IKFSWPTDQsJd', 'ya0hbXxIwgXtgqnlsVZU']"
infrastructure,2025-02-04 16:26:23.839000+00:00,2025-02-04 16:56:23.839000+00:00,0,"(np.float64(43.720231866666666), np.float64(10.400345333333332))",6,"['0GyBmegOdzHVY9D9m2Gv', '0xNA1o1R9lD7ZTIqbSMP', '5qKnqscdCnLL0uvFHBd4', 'BGkRLgtMETOvzlwIdD2s', 'ObfjfPYDdoreTWFStDAY', 'eDUioRybGqzQFJuDEM2W']"
infrastructure,2025-02-04 16:26:23.839000+00:00,2025-02-04 16:56:23.839000+00:00,1,"(np.float64(43.722638625), np.float64(10.389183325))",8,"['2WblUNhm2PUsFmXFDPqs', '7s0o0FafOmDqMjRqBSfk', 'ChemhCHJ49rhYoBSybm2', 'J4aSMpHmUg7YGNMuvhhf', 'KfVPGnQX8RqCoqIhKJQi', 'Q0uY9xYPrBYe7uqMQeep', 'Ubk9eIrycchYRti3UnXB', 'daXJqT7DmwRxyw2jb7JJ']"
