group,start_date,centroid,volume
environmental,2025-02-04 19:51:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",3
environmental,2025-02-04 19:56:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",3
environmental,2025-02-04 20:01:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",3
environmental,2025-02-04 20:06:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",3
environmental,2025-02-04 20:11:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",3
environmental,2025-02-04 20:16:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",3
infrastructure,2025-02-04 16:11:23.839000+00:00,"(np.float64(43.72186195588236), np.float64(10.395944844117647))",34
infrastructure,2025-02-04 16:16:23.839000+00:00,"(np.float64(43.72202127272727), np.float64(10.396312509090908))",33
infrastructure,2025-02-04 16:21:23.839000+00:00,"(np.float64(43.721702981818176), np.float64(10.397792163636364))",22
infrastructure,2025-02-04 16:21:23.839000+00:00,"(np.float64(43.722638625), np.float64(10.389183325))",8
infrastructure,2025-02-04 16:21:23.839000+00:00,"(np.float64(43.72275196), np.float64(10.39242818))",5
infrastructure,2025-02-04 16:26:23.839000+00:00,"(np.float64(43.720231866666666), np.float64(10.400345333333332))",6
infrastructure,2025-02-04 16:26:23.839000+00:00,"(np.float64(43.722638625), np.float64(10.389183325))",8
infrastructure,2025-02-04 16:26:23.839000+00:00,"(np.float64(43.72212988571429), np.float64(10.396055114285714))",7
infrastructure,2025-02-04 16:26:23.839000+00:00,"(np.float64(43.72275196), np.float64(10.39242818))",5
infrastructure,2025-02-04 16:31:23.839000+00:00,"(np.float64(43.722638625), np.float64(10.389183325))",8
infrastructure,2025-02-04 16:31:23.839000+00:00,"(np.float64(43.72212988571429), np.float64(10.396055114285714))",7
infrastructure,2025-02-04 16:31:23.839000+00:00,"(np.float64(43.72275196), np.float64(10.39242818))",5
infrastructure,2025-02-04 16:36:23.839000+00:00,"(np.float64(43.722638625), np.float64(10.389183325))",8
infrastructure,2025-02-04 16:36:23.839000+00:00,"(np.float64(43.72212988571429), np.float64(10.396055114285714))",7
infrastructure,2025-02-04 16:36:23.839000+00:00,"(np.float64(43.72275196), np.float64(10.39242818))",5
infrastructure,2025-02-04 16:41:23.839000+00:00,"(np.float64(43.722638625), np.float64(10.389183325))",8
infrastructure,2025-02-04 16:41:23.839000+00:00,"(np.float64(43.72275196), np.float64(10.39242818))",5
infrastructure,2025-02-04 16:46:23.839000+00:00,"(np.float64(43.722638625), np.float64(10.389183325))",8
infrastructure,2025-02-04 19:46:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",4
infrastructure,2025-02-04 19:51:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",4
infrastructure,2025-02-04 19:56:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",3
infrastructure,2025-02-04 20:01:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",3
infrastructure,2025-02-04 20:06:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",3
infrastructure,2025-02-04 20:11:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",3
safety,2025-02-04 19:51:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",2
safety,2025-02-04 19:56:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",2
safety,2025-02-04 20:01:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",2
safety,2025-02-04 20:06:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",2
safety,2025-02-04 20:11:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",2
safety,2025-02-04 20:16:23.839000+00:00,"(np.float64(43.723005), np.float64(10.3900078))",2
safety,2025-02-05 11:16:23.839000+00:00,"(np.float64(43.72406575), np.float64(10.39126115))",2
safety,2025-02-05 11:21:23.839000+00:00,"(np.float64(43.72406575), np.float64(10.39126115))",2
safety,2025-02-05 11:26:23.839000+00:00,"(np.float64(43.72406575), np.float64(10.39126115))",2
safety,2025-02-05 11:31:23.839000+00:00,"(np.float64(43.72406575), np.float64(10.39126115))",2
safety,2025-02-05 11:36:23.839000+00:00,"(np.float64(43.72406575), np.float64(10.39126115))",2
aesthetic,2025-02-04 16:11:23.839000+00:00,"(np.float64(43.720010923076934), np.float64(10.398749423076923))",13
aesthetic,2025-02-04 16:16:23.839000+00:00,"(np.float64(43.720010923076934), np.float64(10.398749423076923))",13
aesthetic,2025-02-04 16:16:23.839000+00:00,"(np.float64(43.722841100000004), np.float64(10.390822225))",4
aesthetic,2025-02-04 16:21:23.839000+00:00,"(np.float64(43.722163472727274), np.float64(10.389179590909091))",11
aesthetic,2025-02-04 16:21:23.839000+00:00,"(np.float64(43.720010923076934), np.float64(10.398749423076923))",13
aesthetic,2025-02-04 16:26:23.839000+00:00,"(np.float64(43.721930642857146), np.float64(10.388928064285716))",14
aesthetic,2025-02-04 16:26:23.839000+00:00,"(np.float64(43.720010923076934), np.float64(10.398749423076923))",13
aesthetic,2025-02-04 16:31:23.839000+00:00,"(np.float64(43.721930642857146), np.float64(10.388928064285716))",14
aesthetic,2025-02-04 16:31:23.839000+00:00,"(np.float64(43.71995625), np.float64(10.3979317125))",8
aesthetic,2025-02-04 16:36:23.839000+00:00,"(np.float64(43.721930642857146), np.float64(10.388928064285716))",14
aesthetic,2025-02-04 16:41:23.839000+00:00,"(np.float64(43.721930642857146), np.float64(10.388928064285716))",14
aesthetic,2025-02-04 16:46:23.839000+00:00,"(np.float64(43.72156646), np.float64(10.388170399999998))",10
aesthetic,2025-02-04 16:51:23.839000+00:00,"(np.float64(43.721076933333336), np.float64(10.3880058))",3
aesthetic,2025-02-05 14:26:23.839000+00:00,"(np.float64(43.72097665), np.float64(10.384882900000001))",2
aesthetic,2025-02-05 14:31:23.839000+00:00,"(np.float64(43.72107006666666), np.float64(10.3849414))",3
aesthetic,2025-02-05 14:36:23.839000+00:00,"(np.float64(43.72107006666666), np.float64(10.3849414))",3
aesthetic,2025-02-05 14:41:23.839000+00:00,"(np.float64(43.7212569), np.float64(10.3850584))",2
aesthetic,2025-02-05 14:46:23.839000+00:00,"(np.float64(43.7212569), np.float64(10.3850584))",2
aesthetic,2025-02-05 14:51:23.839000+00:00,"(np.float64(43.7212569), np.float64(10.3850584))",2
wildlife,2025-02-05 11:16:23.839000+00:00,"(np.float64(43.7241244), np.float64(10.391530066666666))",3
wildlife,2025-02-05 11:21:23.839000+00:00,"(np.float64(43.7241244), np.float64(10.391530066666666))",3
wildlife,2025-02-05 11:26:23.839000+00:00,"(np.float64(43.7241244), np.float64(10.391530066666666))",3
wildlife,2025-02-05 11:31:23.839000+00:00,"(np.float64(43.7241244), np.float64(10.391530066666666))",3
wildlife,2025-02-05 11:36:23.839000+00:00,"(np.float64(43.7241244), np.float64(10.391530066666666))",3
wildlife,2025-02-05 11:41:23.839000+00:00,"(np.float64(43.724114650000004), np.float64(10.39138435))",2
