tags,location,timestamp
['Cracked Pavement'],"{'latitude': 43.7198062, 'longitude': 10.4003322}",2025-01-09 19:26:00+00:00
['Overgrown Vegetation'],"{'latitude': 43.7220323, 'longitude': 10.3886623}",2024-12-07 07:54:08+00:00
"['Graffiti', 'Vandalism']","{'latitude': 43.7117768, 'longitude': 10.4076807}",2024-10-06 21:31:34+00:00
['Dead Animals'],"{'latitude': 43.7318424, 'longitude': 10.4059703}",2025-01-08 07:18:44+00:00
['Overgrown Vegetation'],"{'latitude': 43.7202389, 'longitude': 10.4034925}",2024-12-03 07:21:50+00:00
['Cracked Pavement'],"{'latitude': 43.7225023, 'longitude': 10.395594}",2024-12-29 15:41:09+00:00
"['Overgrown Vegetation', 'Pothole', 'Litter']","{'latitude': 43.7271587, 'longitude': 10.4046429}",2024-12-05 12:39:20+00:00
['Pothole'],"{'latitude': 43.7213003, 'longitude': 10.4004154}",2024-10-20 18:09:41+00:00
"['Cracked Pavement', 'Graffiti', 'Animal Menace']","{'latitude': 43.7161287, 'longitude': 10.4058994}",2025-02-03 14:30:11+00:00
['Neglected Monuments'],"{'latitude': 43.7167297, 'longitude': 10.4089965}",2024-12-31 12:20:40+00:00
"['Overgrown Vegetation', 'Air Pollution']","{'latitude': 43.7168006, 'longitude': 10.4092131}",2024-11-09 21:49:30+00:00
['Litter'],"{'latitude': 43.731847, 'longitude': 10.4060219}",2024-12-08 22:06:46+00:00
"['Vandalism', 'Graffiti', 'Faded Paint']","{'latitude': 43.7163632, 'longitude': 10.3714784}",2024-12-31 13:16:05+00:00
['Litter'],"{'latitude': 43.7318477, 'longitude': 10.4059222}",2025-02-04 17:03:47+00:00
['Dead Animals'],"{'latitude': 43.7242013, 'longitude': 10.3915379}",2025-01-03 16:43:48+00:00
['Cracked Pavement'],"{'latitude': 43.7224566, 'longitude': 10.3887521}",2024-10-24 07:23:10+00:00
['Cracked Pavement'],"{'latitude': 43.7214468, 'longitude': 10.3969947}",2024-10-01 13:20:15+00:00
['Overgrown Vegetation'],"{'latitude': 43.7219278, 'longitude': 10.4053528}",2024-11-24 09:26:55+00:00
['Litter'],"{'latitude': 43.7290909, 'longitude': 10.3998018}",2025-02-02 18:13:05+00:00
['Neglected Monuments'],"{'latitude': 43.7212569, 'longitude': 10.3850584}",2024-12-13 17:18:37+00:00
"['Pothole', 'Cracked Pavement', 'Faded Paint']","{'latitude': 43.719816, 'longitude': 10.4040449}",2024-10-08 08:26:39+00:00
"['Damaged Bench', 'Cracked Pavement']","{'latitude': 43.7241053, 'longitude': 10.3927808}",2025-01-11 13:11:29+00:00
['Broken Streetlight'],"{'latitude': 43.723005, 'longitude': 10.3900078}",2025-01-03 08:06:13+00:00
"['Cracked Pavement', 'Neglected Monuments', 'Unsafe Building']","{'latitude': 43.7195009, 'longitude': 10.4083734}",2024-12-19 18:13:23+00:00
